Adulto_Mayor,Tiene_Pareja,Personas_a_Cargo,Meses_Antiguedad,Servicio_Telefonico,Facturacion_Electronica,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Genero_Male,Lineas_Multiples_No phone service,Lineas_Multiples_Yes,Servicio_Internet_Fiber optic,Servicio_Internet_No,Seguridad_Online_Yes,Respaldo_Online_Yes,Proteccion_Dispositivo_Yes,Soporte_Tecnico_Yes,Streaming_TV_Yes,Streaming_Peliculas_Yes,Tipo_Contrato_Bianual,Tipo_Contrato_Mensual,Metodo_Pago_Credit card (automatic),Metodo_Pago_Electronic check,Metodo_Pago_Mailed check,Evasion_Real
0,1,1,-0.7328726402444542,1,1,1.1268480397564078,-0.5503754063093392,1.126788819325199,True,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,0
1,1,0,1.754575196818931,1,1,0.21524923833993537,1.3285383877449526,0.20922659044010225,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,0
0,1,1,2.083106043223529,1,1,1.3743682441145233,2.6092370735290777,1.3682525637686456,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,0
0,0,0,-0.6390066841288548,1,0,0.4104480986873918,-0.5546870391870773,0.41447077321703174,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,0
0,0,0,-0.7798056183022539,0,0,-1.8212584593056949,-0.8767660151541095,-1.819068862884849,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0
0,1,1,0.9567145698363356,0,1,-0.9539315643597793,0.13761747988172865,-0.9497993828884415,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,0
0,1,1,2.223904977396928,1,0,-0.31198892053670046,1.299339051756271,-0.30992046011330804,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,0
0,0,0,0.7689826576051368,1,1,0.6016222402647978,0.8063517392189,0.5955685815496166,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,0
1,1,0,-0.6859396621866545,1,1,0.4849053959333292,-0.5700651964510097,0.4869098965500658,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,1
1,0,0,-1.0614034866490523,1,0,-0.7949551729427785,-0.9305416585458979,-0.7928479490002011,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,1
0,0,0,-0.592073706071055,1,1,-1.1893776124077426,-0.7298591016031791,-1.1912631273318879,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
0,0,0,-1.1083364647068519,1,1,0.4828930365483034,-0.9389732961734746,0.4869098965500658,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,1
0,1,1,-0.8736715744178534,1,0,-2.203606742460507,-0.9139418719666065,-2.2054108539943633,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0
